Common name,Entrez ID,Gene Name,Prediction,Sorted Category
ygeW,945826,Uncharacterized protein ygeW,[' Central intermediary metabolism'],Temporarly Down Regulated
hsdM,948872,Type I restriction enzyme EcoKI M protein,,Down Regulated
rstB,948870,Sensor protein; Sensor protein rstB,,Down Regulated
tauA,945030,Taurine-binding periplasmic protein,,Down Regulated
atpF,948247,ATP synthase subunit b; ATP synthase B chain,,Up Regulated
yaiI,945033,UPF0178 protein yaiI,,Temporarly Up Regulated
mnmG,948248,tRNA uridine 5-carboxymethylaminomethyl modification enzyme mnmG,,Down Regulated
aroL,945031,Shikimate kinase 2,,Ambiguous/Unsorted
mioC,948249,Protein mioC,,Ambiguous/Unsorted
rlmM,947283,UTI89_C3178; b2806; ECIAI39_3228; ECIAI1_2916; Z4123; c3376; ECED1_3259; ECUMN_3135; E2348C_3073; APECO1_3725; ECS88_3075; EC55989_3085; ECDH10B_2975,,Down Regulated
ygdE,947283,UTI89_C3178; b2806; ECIAI39_3228; ECIAI1_2916; Z4123; c3376; ECED1_3259; ECUMN_3135; E2348C_3073; APECO1_3725; ECS88_3075; EC55989_3085; ECDH10B_2975,,Down Regulated
atpD,948244,ATP synthase subunit beta,,Up Regulated
yaiW,945038,Uncharacterized protein yaiW,"[' Carbon compound utilization', ' RNA related', ' Type of regulation', ' Genetic unit regulated', 'transcription', 'regulation of transcription  DNA dependent']",Temporarly Up Regulated
ptrA,947284,Protease 3,,Ambiguous/Unsorted
suhB,947285,Inositol-1-monophosphatase,,Temporarly Down Regulated
recB,947286,Exodeoxyribonuclease V beta chain,,Up Regulated
RecD,947287,Exodeoxyribonuclease V alpha chain,,Down Regulated
pstB,948240,Phosphate import ATP-binding protein pstB,,Ambiguous/Unsorted
oppB,945823,Oligopeptide transport system permease protein oppB,,Down Regulated
cls,945821,Cardiolipin synthetase,,Up Regulated
argA,947289,Amino-acid acetyltransferase,,Ambiguous/Unsorted
rsmE,945816,Ribosomal RNA small subunit methyltransferase E,,Ambiguous/Unsorted
Dos,945815,"Heme-regulated cyclic di-GMP, cyclic AMP phosphodiesterase,",,Ambiguous/Unsorted
dosP,945815,"Heme-regulated cyclic di-GMP, cyclic AMP phosphodiesterase,",,Ambiguous/Unsorted
ygiT,945814,Uncharacterized HTH-type transcriptional regulator ygiT,"[' Carbon compound utilization', 'metabolic process']",Up Regulated
mqsA,945814,Uncharacterized HTH-type transcriptional regulator ygiT,,Up Regulated
flgD,945813,Basal-body rod modification protein flgD,,Ambiguous/Unsorted
oppF,945818,Oligopeptide transport ATP-binding protein oppF,,Ambiguous/Unsorted
flhC,947280,Flagellar transcriptional activator flhC,,Down Regulated
sgcX,948840,Putative sgc region protein sgcX,,Up Regulated
psiF,945040,Phosphate starvation-inducible protein psiF,,Up Regulated
phoA,945041,Alkaline phosphatase,,Ambiguous/Unsorted
yaiA,945043,Uncharacterized protein yaiA,"['Amino acid transport and metabolism', ' Building block biosynthesis', 'aromatic amino acid family biosynthetic process']",Up Regulated
asnA,948258,Aspartate--ammonia ligase,,Ambiguous/Unsorted
phoR,945044,Sensor protein; Phosphate regulon sensor protein phoR,,Ambiguous/Unsorted
aroM,945045,Protein aroM,,Down Regulated
asnC,948259,Asparaginyl-tRNA synthetase; Regulatory protein asnC,,Down Regulated
ravA,948256,ATPase ravA,,Temporarly Down Regulated
phoB,945046,Phosphate regulon transcriptional regulatory protein phoB,,Temporarly Up Regulated
csdE,947274,Uncharacterized sufE-like protein ygdK,,Ambiguous/Unsorted
yaiE,945048,UPF0345 protein yaiE,,Down Regulated
syd,947271,Protein syd,,Down Regulated
sbcD,945049,Nuclease sbcCD subunit D,,Temporarly Up Regulated
kup,948255,Low affinity potassium transport system protein kup,,Ambiguous/Unsorted
atpB,948252,ATP synthase subunit a,,Down Regulated
gcvA,947278,Glycine cleavage system transcriptional activator,,Temporarly Up Regulated
ygdI,947276,Uncharacterized lipoprotein ygdI,"[' Carbon compound utilization', ' RNA related', ' Type of regulation', ' Genetic unit regulated']",Up Regulated
uxuR,948849,Uxu operon transcriptional regulator,,Temporarly Up Regulated
oppD,945802,Oligopeptide transport ATP-binding protein oppD,,Ambiguous/Unsorted
ycgN,945804,UPF0260 protein ycgN,,Down Regulated
glcB,948857,Malate synthase G,,Up Regulated
narJ,945807,Respiratory nitrate reductase 1 delta chain,,Up Regulated
gudP,947265,Probable glucarate transporter,,Temporarly Down Regulated
ilvH,947267,Acetolactate synthase isozyme 3 small subunit,,Ambiguous/Unsorted
tnaB,948220,Low affinity tryptophan permease,,Temporarly Up Regulated
mnmE,948222,tRNA modification GTPase mnmE,,Temporarly Down Regulated
rumB,947260,23S rRNA (uracil-5-)-methyltransferase rumB,,Ambiguous/Unsorted
wrbA,947263,Flavoprotein wrbA; Putative flavoprotein wrbA,,Up Regulated
sdaB,947262,L-serine dehydratase 2,,Up Regulated
yieE,948226,Uncharacterized protein yieE,['Amino acid transport and metabolism'],Temporarly Down Regulated
yieF,948225,Uncharacterized protein yieF,,Up Regulated
yidZ,948227,HTH-type transcriptional regulator yidZ,,Up Regulated
yieK,948229,Uncharacterized protein yieK,['Carbohydrate transport and metabolism'],Temporarly Up Regulated
ygdG,947256,Uncharacterized exonuclease xni,,Temporarly Up Regulated
barA,947255,Sensor protein; Signal transduction histidine-protein kinase barA,,Ambiguous/Unsorted
mazG,947254,Protein mazG,,Down Regulated
pepN,947253,Aminopeptidase N,,Ambiguous/Unsorted
mazF,947252,PemK-like protein 1,,Temporarly Up Regulated
nhoA,947251,N-hydroxyarylamine O-acetyltransferase,,Ambiguous/Unsorted
bglB,948234,6-phospho-beta-glucosidase bglB,,Ambiguous/Unsorted
phoU,948233,Phosphate transport system protein phoU,,Ambiguous/Unsorted
yieH,948232,Phosphatase yieH,,Down Regulated
pstS,948237,Phosphate-binding protein pstS,,Up Regulated
gudD,947258,Glucarate dehydratase,,Ambiguous/Unsorted
qmcA,947257,Protein qmcA,,Temporarly Up Regulated
ibpA,948200,Small heat shock protein ibpA,,Down Regulated
CYBB,947241,Cytochrome b561,,Down Regulated
ygcR,947240,Putative electron transfer flavoprotein subunit ygcR,,Down Regulated
rumA,947243,23S rRNA (uracil-5-)-methyltransferase rumA,,Temporarly Down Regulated
mazE,947245,PemI-like protein 1,,Ambiguous/Unsorted
relA,947244,GTP pyrophosphokinase,,Ambiguous/Unsorted
ybdK,947246,Carboxylate-amine ligase ybdK,,Up Regulated
ygiC,947249,Uncharacterized protein ygiC,[],Down Regulated
recF,948209,DNA replication and repair protein recF,,Temporarly Up Regulated
ydcL,948203,Uncharacterized lipoprotein ydcL,"['Amino acid transport and metabolism', 'amino acid transport']",Up Regulated
yjiA,948882,Uncharacterized GTP-binding protein yjiA,[],Ambiguous/Unsorted
opgB,948888,Phosphoglycerol transferase I,,Down Regulated
yjjA,948887,Uncharacterized protein yjjA,[],Down Regulated
cusR,945003,Transcriptional regulatory protein cusR,,Temporarly Down Regulated
yidB,948212,Uncharacterized protein yidB,[],Up Regulated
pal,945004,Peptidoglycan-associated lipoprotein,,Up Regulated
yegD,947234,Uncharacterized chaperone protein yegD,[],Temporarly Up Regulated
lacI,945007,Lactose operon repressor,,Ambiguous/Unsorted
lacZ,945006,Beta-galactosidase,,Down Regulated
hisQ,947235,Histidine transport system permease protein hisQ,,Down Regulated
dnaN,948218,DNA polymerase III subunit beta,,Down Regulated
dnaA,948217,Chromosomal replication initiator protein dnaA,,Up Regulated
rpmH,948216,50S ribosomal protein L34,,Up Regulated
rnpA,948215,Ribonuclease P protein component,,Temporarly Down Regulated
cynR,945001,HTH-type transcriptional regulator cynR,,Up Regulated
cysJ,947239,Sulfite reductase [NADPH] flavoprotein alpha-component,,Down Regulated
osmY,948895,Osmotically-inducible protein Y,,Up Regulated
rimI,948894,Ribosomal-protein-alanine acetyltransferase,,Ambiguous/Unsorted
fhuF,948891,Ferric iron reductase protein fhuF,,Temporarly Up Regulated
holD,948890,DNA polymerase III subunit psi,,Temporarly Up Regulated
yjjG,948899,5'-nucleotidase yjjG,,Down Regulated
mrr,948898,Mrr restriction system protein,,Ambiguous/Unsorted
prfC,948897,Peptide chain release factor 3,,Temporarly Down Regulated
lpp,946175,Major outer membrane lipoprotein,,Up Regulated
entB,946178,Isochorismatase,,Up Regulated
ydhR,946177,Putative monooxygenase ydhR,,Down Regulated
ynhG,946174,Uncharacterized protein ynhG,[],Ambiguous/Unsorted
slyA,946167,Transcriptional regulator slyA,,Temporarly Down Regulated
plsX,946165,Fatty acid/phospholipid synthesis protein plsX,,Ambiguous/Unsorted
pdxY,946162,Pyridoxamine kinase,,Down Regulated
rsxG,946158,Electron transport complex protein rnfG,,Ambiguous/Unsorted
rnt,946159,Ribonuclease T,,Ambiguous/Unsorted
uidR,946150,HTH-type transcriptional regulator uidR,,Down Regulated
cnu,946152,OriC-binding nucleoid-associated protein,,Up Regulated
hdhA,946151,7-alpha-hydroxysteroid dehydrogenase,,Down Regulated
lhr,946156,Probable ATP-dependent helicase lhr,,Down Regulated
uidA,946149,Beta-glucuronidase,,Ambiguous/Unsorted
fumC,946147,Fumarate hydratase class II,,Temporarly Down Regulated
rsxB,946146,Electron transport complex protein rnfB,,Down Regulated
topB,946141,DNA topoisomerase 3,,Temporarly Up Regulated
yceI,946145,Protein yceI,,Ambiguous/Unsorted
pntB,946144,NAD(P) transhydrogenase subunit beta,,Ambiguous/Unsorted
fecC,948826,Fe(3+) dicitrate transport system permease protein fecC,,Temporarly Up Regulated
fecE,948819,Fe(3+) dicitrate transport ATP-binding protein fecE,,Up Regulated
yfcZ,948817,UPF0381 protein yfcZ,,Up Regulated
sspA,944744,Stringent starvation protein A,,Ambiguous/Unsorted
yjgB,948802,Uncharacterized zinc-type alcohol dehydrogenase-like protein yjgB,"['Amino acid transport and metabolism', ' Carbon compound utilization', 'metabolic process']",Up Regulated
ydiI,946190,Esterase ydiI,,Up Regulated
ybaQ,948800,Uncharacterized HTH-type transcriptional regulator ybaQ,"['Energy production and conversion', ' Energy production transport', 'electron transport', 'amino acid metabolic process']",Temporarly Down Regulated
yddH,946192,Uncharacterized protein yddH,[],Up Regulated
sapB,946191,Peptide transport system permease protein sapB,,Temporarly Down Regulated
ygcE,946193,Uncharacterized sugar kinase ygcE,"[' Central intermediary metabolism', 'carbohydrate metabolic process']",Temporarly Up Regulated
trxA,948289,Thioredoxin-1,,Up Regulated
ydiH,946194,Uncharacterized protein ydiH,['proteolysis'],Up Regulated
fucI,946195,L-fucose isomerase,,Up Regulated
ilvA,948287,Threonine dehydratase biosynthetic,,Ambiguous/Unsorted
ppiC,948285,Peptidyl-prolyl cis-trans isomerase C,,Ambiguous/Unsorted
rstA,946199,Transcriptional regulatory protein rstA,,Temporarly Up Regulated
gpp,948291,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase",,Down Regulated
rep,948292,ATP-dependent DNA helicase rep,,Down Regulated
wzyE,948293,Putative ECA polymerase,,Down Regulated
ydiL,946181,Uncharacterized protein ydiL,[],Temporarly Up Regulated
ydhZ,946180,Uncharacterized protein ydhZ,[],Up Regulated
rffH,948299,Glucose-1-phosphate thymidylyltransferase; Glucose-1-phosphate thymidylyltransferase 2,,Temporarly Down Regulated
sufS,946185,Cysteine desulfurase,,Up Regulated
torR,946182,TorCAD operon transcriptional regulatory protein torR,,Temporarly Up Regulated
ydiJ,946189,Uncharacterized protein ydiJ,['Energy production and conversion'],Ambiguous/Unsorted
rffA,948296,Lipopolysaccharide biosynthesis protein rffA,,Down Regulated
ybaS,946187,Glutaminase 1,,Up Regulated
puuA,946202,Gamma-glutamylputrescine synthetase,,Down Regulated
lnt,946201,Apolipoprotein N-acyltransferase,,Ambiguous/Unsorted
sapD,946203,Peptide transport system ATP-binding protein sapD,,Down Regulated
yadD,944781,Uncharacterized protein yadD,"['Replication  recombination and repair', 'DNA recombination']",Down Regulated
appA,946206,Periplasmic appA protein,,Up Regulated
ydiA,946207,Uncharacterized protein yuaU; Putative phosphotransferase ydiA,[],Down Regulated
ppsR,946207,Uncharacterized protein yuaU; Putative phosphotransferase ydiA,,Down Regulated
mdtB,946606,Multidrug resistance protein mdtB,,Up Regulated
mdtC,946608,Multidrug resistance protein mdtC,,Ambiguous/Unsorted
rffE,944789,UDP-N-acetylglucosamine 2-epimerase,,Ambiguous/Unsorted
yegQ,946609,Uncharacterized protease yegQ,[],Down Regulated
ydiB,946200,Quinate/shikimate dehydrogenase,,Temporarly Up Regulated
ftsZ,944786,Cell division protein ftsZ,,Down Regulated
baeS,946611,Sensor protein; Signal transduction histidine-protein kinase baeS,,Down Regulated
ybiS,945441,Uncharacterized protein ybiS,['phosphoenolpyruvate dependent sugar phosphotransferase system'],Ambiguous/Unsorted
ybiT,945440,Uncharacterized ABC transporter ATP-binding protein ybiT,[],Ambiguous/Unsorted
flhD,945442,Transcriptional activator flhD,,Down Regulated
puuE,945446,4-aminobutyrate aminotransferase,,Down Regulated
ydcF,946215,Protein ydcF,,Ambiguous/Unsorted
fadK,946213,Short-chain-fatty-acid--CoA ligase,,Ambiguous/Unsorted
mltC,945428,Membrane-bound lytic murein transglycosylase C,,Temporarly Up Regulated
ydiS,946212,Probable electron transfer flavoprotein-quinone oxidoreductase ydiS,,Temporarly Down Regulated
folA,944790,Dihydrofolate reductase; Dihydrofolate reductase type 1,,Ambiguous/Unsorted
ydiU,946219,UPF0061 protein ydiU,,Down Regulated
ydiY,946218,Uncharacterized protein ydiY,[],Up Regulated
murE,944791,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",,Ambiguous/Unsorted
lpxL,946216,Lipid A biosynthesis lauroyl acyltransferase,,Up Regulated
rihC,944796,Non-specific ribonucleoside hydrolase rihC,,Up Regulated
leuB,944798,3-isopropylmalate dehydrogenase,,Temporarly Down Regulated
aroD,946210,3-dehydroquinate dehydratase,,Down Regulated
aceK,944797,Isocitrate dehydrogenase kinase/phosphatase,,Down Regulated
ftsI,944799,Peptidoglycan synthetase ftsI,,Down Regulated
yegE,946600,Uncharacterized protein yegE,"['Signal transduction mechanisms', ' Type of regulation', 'two component signal transduction system  phosphorelay ', 'regulation of transcription  DNA dependent']",Temporarly Up Regulated
mdtA,946604,Multidrug resistance protein mdtA,,Up Regulated
ybiI,945434,Uncharacterized protein ybiI,[' Adaptation to stress'],Up Regulated
ybiJ,945433,Uncharacterized protein ybiJ,[],Temporarly Up Regulated
pps,946209,Phosphoenolpyruvate synthase,,Ambiguous/Unsorted
ppsA,946209,Phosphoenolpyruvate synthase,,Ambiguous/Unsorted
dinG,945431,Probable ATP-dependent helicase dinG,,Down Regulated
mntR,945437,Transcriptional regulator mntR,,Ambiguous/Unsorted
glnQ,945435,Glutamine transport ATP-binding protein glnQ,,Down Regulated
dapB,944762,Dihydrodipicolinate reductase,,Ambiguous/Unsorted
Mog,944760,Molybdopterin biosynthesis mog protein,,Up Regulated
rpsT,944759,30S ribosomal protein S20,,Down Regulated
nhaR,944757,Transcriptional activator protein nhaR,,Ambiguous/Unsorted
rhlE,945425,Putative ATP-dependent RNA helicase rhlE,,Down Regulated
ybiB,945424,Uncharacterized protein ybiB,"[' Energy metabolism  carbon ', 'nitrate assimilation']",Ambiguous/Unsorted
ybiH,945421,Uncharacterized HTH-type transcriptional regulator ybiH,"['Defense mechanisms', ' Primary Active Transporters']",Up Regulated
exbB,945420,Biopolymer transport protein exbB,,Temporarly Up Regulated
apaH,944770,"Bis(5'-nucleosyl)-tetraphosphatase, symmetrical; Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]",,Ambiguous/Unsorted
ftsA,944778,Cell division protein ftsA,,Ambiguous/Unsorted
ispH,944777,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,,Ambiguous/Unsorted
apaG,944772,Protein apaG,,Up Regulated
sspB,944774,Stringent starvation protein B,,Down Regulated
rpmD,947797,50S ribosomal protein L30,,Down Regulated
secY,947799,Preprotein translocase subunit secY; Preprotein translocase secY subunit,,Down Regulated
rplO,947798,50S ribosomal protein L15,,Down Regulated
rpsD,947793,30S ribosomal protein S4,,Temporarly Up Regulated
rpsK,947792,30S ribosomal protein S11,,Down Regulated
rpsE,947795,30S ribosomal protein S5,,Ambiguous/Unsorted
ybhG,945414,UPF0194 membrane protein ybhG,,Up Regulated
ybhF,945413,Uncharacterized ABC transporter ATP-binding protein ybhF,,Temporarly Up Regulated
rpsM,947791,30S ribosomal protein S13; 30S ribosomal protein,,Down Regulated
yehI,946649,Uncharacterized protein yehI,"['Translation  ribosomal structure and biogenesis', 'translation', 'ion transport']",Up Regulated
metC,946240,Cystathionine beta-lyase metC,,Ambiguous/Unsorted
ybdG,946243,Uncharacterized protein ybdG,[],Ambiguous/Unsorted
fiu,946246,Catecholate siderophore receptor fiu,,Up Regulated
rlmN,946249,Ribosomal RNA large subunit methyltransferase N,,Down Regulated
rimN,947783,Putative ribosome maturation factor rimN,,Up Regulated
SDHA,945402,Succinate dehydrogenase flavoprotein subunit,,Ambiguous/Unsorted
ybhR,945403,Inner membrane transport permease ybhR,,Temporarly Up Regulated
rplQ,947784,50S ribosomal protein L17,,Temporarly Down Regulated
yrdD,947782,Uncharacterized protein yrdD,"['Replication  recombination and repair', 'amino acid biosynthetic process', 'aromatic amino acid family biosynthetic process']",Up Regulated
dld,946653,D-lactate dehydrogenase,,Ambiguous/Unsorted
mscL,947787,Large-conductance mechanosensitive channel,,Temporarly Up Regulated
trkA,947788,Trk system potassium uptake protein trkA,,Up Regulated
yhdN,947785,Uncharacterized protein yhdN,[],Down Regulated
zntR,947786,HTH-type transcriptional regulator zntR,,Down Regulated
yeiE,946657,Uncharacterized HTH-type transcriptional regulator yeiE,"['Transcription', ' RNA related', ' Type of regulation', 'transcription', 'regulation of transcription  DNA dependent']",Down Regulated
yegW,946639,Uncharacterized HTH-type transcriptional regulator yegW,[],Temporarly Up Regulated
astC,946255,Succinylornithine transaminase,,Up Regulated
spy,946253,Spheroplast protein Y,,Temporarly Up Regulated
astB,946259,N-succinylarginine dihydrolase,,Up Regulated
lptE,946257,LPS-assembly lipoprotein lptE,,Ambiguous/Unsorted
yrdB,947774,Uncharacterized protein yrdB,"[' Building block biosynthesis', 'purine nucleotide biosynthetic process', 'aromatic amino acid family biosynthetic process']",Temporarly Down Regulated
yrdA,947775,Protein yrdA,,Ambiguous/Unsorted
aroE,947776,Shikimate dehydrogenase; Quinate/shikimate dehydrogenase,,Up Regulated
pncB,946648,Nicotinate phosphoribosyltransferase,,Down Regulated
rihB,946646,Pyrimidine-specific ribonucleoside hydrolase rihB,,Temporarly Up Regulated
mrp,946627,Protein mrp,,Down Regulated
pntA,946628,NAD(P) transhydrogenase subunit alpha,,Up Regulated
helD,946227,Helicase IV,,Down Regulated
pheS,946223,Phenylalanyl-tRNA synthetase alpha chain,,Ambiguous/Unsorted
ycgL,946226,UPF0745 protein ycgL,,Ambiguous/Unsorted
aaeR,947760,HTH-type transcriptional activator aaeR,,Up Regulated
acrF,947768,Acriflavine resistance protein F,,Temporarly Up Regulated
yhdW,947766,Putative amino-acid ABC transporter-binding protein yhdW,,Up Regulated
yegU,946630,Uncharacterized protein yegU,[],Ambiguous/Unsorted
yhdZ,947763,Uncharacterized amino-acid ABC transporter ATP-binding protein yhdZ,,Down Regulated
yhdY,947764,Inner membrane amino-acid ABC transporter permease protein yhdY,,Up Regulated
fbaB,946632,Fructose-bisphosphate aldolase class 1,,Ambiguous/Unsorted
pfkB,946230,6-phosphofructokinase isozyme 2,,Ambiguous/Unsorted
chbG,946231,UPF0249 protein chbG,,Temporarly Up Regulated
tldD,947749,Protein tldD,,Down Regulated
ydjN,946238,Uncharacterized symporter ydjN,[],Down Regulated
yniA,946236,Uncharacterized protein yniA,[],Up Regulated
katE,946234,Catalase HPII; Catalase,,Ambiguous/Unsorted
cedA,946235,Cell division activator cedA,,Down Regulated
yhcH,947750,Uncharacterized protein yhcH,"['Carbohydrate transport and metabolism', 'carbohydrate metabolic process']",Up Regulated
tolA,946625,Protein tolA,,Down Regulated
accB,947758,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,,Ambiguous/Unsorted
hpt,946624,Hypoxanthine phosphoribosyltransferase,,Ambiguous/Unsorted
cyaY,947754,Protein cyaY,,Up Regulated
cyaA,947755,Adenylate cyclase,,Down Regulated
nanA,947742,N-acetylneuraminate lyase 1; N-acetylneuraminate lyase,,Up Regulated
ccmE,946697,Cytochrome c-type biogenesis protein ccmE,,Temporarly Up Regulated
aaeA,947748,p-hydroxybenzoic acid efflux pump subunit aaeA,,Ambiguous/Unsorted
yejK,946690,Nucleoid-associated protein ndpA,,Ambiguous/Unsorted
rlmI,946691,Ribosomal RNA large subunit methyltransferase I,,Ambiguous/Unsorted
yejL,946694,UPF0352 protein yejL,,Temporarly Up Regulated
rtn,946695,Protein rtn,,Up Regulated
lpxT,946693,Inner membrane protein yeiU,,Down Regulated
recQ,948318,ATP-dependent DNA helicase recQ,,Down Regulated
dapE,948313,Succinyl-diaminopimelate desuccinylase,,Ambiguous/Unsorted
pldB,948314,Lysophospholipase L2,,Down Regulated
metR,948310,HTH-type transcriptional regulator metR,,Down Regulated
hemY,948311,Protein hemY,,Ambiguous/Unsorted
ushA,947331,Protein ushA,,Ambiguous/Unsorted
yejM,946685,Inner membrane protein yejM,,Down Regulated
mlaE,947732,UPF0393 inner membrane protein yrbE,,Temporarly Down Regulated
yrbE,947732,UPF0393 inner membrane protein yrbE,,Temporarly Down Regulated
flgC,946687,Flagellar basal-body rod protein flgC,,Down Regulated
yejF,946689,Uncharacterized ABC transporter ATP-binding protein yejF,,Ambiguous/Unsorted
cueO,947736,Blue copper oxidase cueO,,Temporarly Up Regulated
kdsD,947734,Arabinose 5-phosphate isomerase,,Ambiguous/Unsorted
osmF,946681,Putative osmoprotectant uptake system substrate-binding protein osmF,,Up Regulated
flgM,946684,Negative regulator of flagellin synthesis,,Ambiguous/Unsorted
pldA,948307,Phospholipase A1,,Up Regulated
rffG,948300,"dTDP-glucose 4,6-dehydratase",,Down Regulated
ydhP,947340,Inner membrane transport protein ydhP,,Temporarly Down Regulated
rffM,948301,Probable UDP-N-acetyl-D-mannosaminuronic acid transferase,,Temporarly Up Regulated
gltB,947724,Glutamate synthase [NADPH] large chain,,Ambiguous/Unsorted
gltD,947723,Glutamate synthase [NADPH] small chain,,Down Regulated
ampE,946678,Protein ampE,,Temporarly Up Regulated
speE,947726,Spermidine synthase,,Ambiguous/Unsorted
secG,947720,Protein-export membrane protein secG,,Up Regulated
fruK,946676,1-phosphofructokinase,,Down Regulated
fruB,946677,Multiphosphoryl transfer protein,,Ambiguous/Unsorted
yeiP,946674,Elongation factor P-like protein,,Ambiguous/Unsorted
yejA,946675,Uncharacterized protein yejA,,Down Regulated
fruA,946672,PTS system fructose-specific EIIBC component,,Down Regulated
fixA,947316,Protein fixA,,Ambiguous/Unsorted
pcnB,947318,Poly(A) polymerase,,Down Regulated
lysA,947313,Diaminopimelate decarboxylase,,Ambiguous/Unsorted
galR,947314,HTH-type transcriptional regulator galR,,Temporarly Down Regulated
aas,947315,Bifunctional protein aas,,Temporarly Up Regulated
hpf,947718,Probable sigma(54) modulation protein,,Down Regulated
pspB,945893,Phage shock protein B,,Temporarly Up Regulated
speD,947719,S-adenosylmethionine decarboxylase proenzyme,,Ambiguous/Unsorted
speB,947715,Agmatinase,,Down Regulated
lysP,946667,Lysine-specific permease,,Down Regulated
amiD,945494,N-acetylmuramoyl-L-alanine amidase amiD,,Temporarly Up Regulated
rpoN,947714,RNA polymerase sigma-54 factor,,Down Regulated
ybjQ,945493,UPF0145 protein ybjQ,,Temporarly Down Regulated
ybjT,945496,Uncharacterized protein ybjT,['Cell wall membrane envelope biogenesis'],Temporarly Down Regulated
nfo,946669,Endonuclease 4; Probable endonuclease 4,,Down Regulated
ybjS,945495,Uncharacterized protein ybjS,[],Ambiguous/Unsorted
aat,945490,Leucyl/phenylalanyl-tRNA--protein transferase,,Down Regulated
cdd,946663,Cytidine deaminase,,Up Regulated
ybjP,945491,Uncharacterized lipoprotein ybjP,"['Amino acid transport and metabolism', ' Building block biosynthesis']",Up Regulated
pbpG,946662,D-alanyl-D-alanine endopeptidase,,Down Regulated
ybjD,945498,Uncharacterized protein ybjD,['SOS response'],Up Regulated
pspC,945499,Phage shock protein C,,Up Regulated
